Title,Genres,Total Play Time,Rating,Storage Required,Release Year,Developer,Publisher,Price
Rocket League,"Strategy, MMORPG",367.29,8.4,65.9,2002,Valve,Capcom,17.99
The Witcher 3: Wild Hunt,"First-person shooter, Sports",375.49,6.1,54,2017,Bungie,Electronic Arts,51.11
Red Dead Redemption 2,"RPG, Simulation",55.74,3,1.8,2017,Valve,Capcom,48.68
Cyberpunk 2077,Open World,909.19,8.1,91.8,2023,EA,Bandai Namco,54.48
DOOM Eternal,Adventure,750.8,9.7,13.4,2011,Bethesda,Microsoft,54.35
Stardew Valley,First-person shooter,82,3.1,75.5,2022,Nintendo,Bethesda,31.77
Terraria,"Puzzle, RPG, Adventure",453.54,1.1,79.3,2021,BioWare,Bandai Namco,37.28
Dark Souls III,"Strategy, Adventure, RPG",953.05,9.6,19.9,2014,Rockstar Games,Bethesda,18.18
Hades,"Simulation, Sports",744.67,1.4,58.7,2019,Ubisoft,Nintendo,9.9
Half-Life: Alyx,"Adventure, Open World",788.25,5.8,57.6,2001,EA,Square Enix,32.64
Valheim,RPG,801.78,6.3,87.6,2001,CD Projekt Red,Bandai Namco,24.61
Among Us,"Puzzle, RPG, Strategy",709.24,1.3,17.5,2019,Bungie,Bandai Namco,2.95
Rust,"MMORPG, Adventure, RPG",685.83,6.7,61,2010,EA,Bandai Namco,14.78
ARK: Survival Evolved,"First-person shooter, MMORPG, Racing",530.79,5.4,9,2018,Rockstar Games,Nintendo,55.15
Fallout 4,Sports,146.69,1.5,3.1,2006,Ubisoft,Sony,12.97
Sekiro: Shadows Die Twice,"Simulation, RPG, Puzzle",874.15,1.8,50.3,2014,CD Projekt Red,Sony,36.17
Hollow Knight,Sports,427.26,9.9,61.2,2011,Bungie,Activision,4.02
Slay the Spire,"Simulation, First-person shooter",690.15,4.9,32.3,2010,Valve,Sony,58.71
Portal 2,"Strategy, RPG",691.7,6.7,66.1,2009,Nintendo,Sega,35.33
Subnautica,"MMORPG, Strategy, Open World",126.03,6.8,68.9,2014,Bethesda,Electronic Arts,10.5
Borderlands 3,"RPG, Sports",829.41,9.9,50.2,2014,EA,Microsoft,1.79
Overwatch,Adventure,764.4,7.1,96.3,2021,Ubisoft,Microsoft,1.28
Fortnite,MMORPG,912.05,4,92.2,2018,Valve,Square Enix,21.91
Minecraft,"Open World, RPG",437.21,8.2,6,2004,Nintendo,Bethesda,25.41
The Elder Scrolls V: Skyrim,"Puzzle, Strategy, Open World",359.49,1.8,43.4,2004,Rockstar Games,Bethesda,11.5
Left 4 Dead 2,"Strategy, Open World",813.56,9.4,8.7,2000,Ubisoft,Microsoft,6.57
Team Fortress 2,"Adventure, Sports, MMORPG",530.8,7.5,66.7,2004,Epic Games,Bethesda,10.79
Tom Clancy's Rainbow Six Siege,Strategy,596.63,2.2,51.9,2005,Valve,Bandai Namco,51.14
BioShock Infinite,Open World,710.76,2.6,26.3,2023,Bethesda,Square Enix,16.37
Far Cry 5,"Open World, Adventure",280.15,9.8,11.2,2008,Bethesda,Electronic Arts,14.78
Assassin's Creed Odyssey,"First-person shooter, MMORPG",879.98,8.9,47.3,2016,Nintendo,Activision,17.87
Just Cause 4,"First-person shooter, MMORPG, Strategy",654.47,4.5,53.3,2012,Bethesda,Sony,18.81
Metro Exodus,"Strategy, Open World",857.92,7.4,31,2013,CD Projekt Red,Activision,26.14
Destiny 2,"Strategy, Simulation, Adventure",306.26,7.3,89.3,2010,Valve,Bandai Namco,36.05
Resident Evil 2,"RPG, First-person shooter, Open World",423.29,8.7,67.6,2016,EA,Microsoft,25.35
Monster Hunter: World,"Strategy, First-person shooter, Racing",853.58,2.2,51.6,2006,CD Projekt Red,Nintendo,57
The Sims 4,"RPG, MMORPG",820.65,9.9,98.4,2014,Nintendo,Bandai Namco,39.46
Sid Meier's Civilization VI,Racing,715.8,5.3,58.2,2006,Ubisoft,Bethesda,31.91
The Legend of Zelda: Breath of the Wild,"Strategy, Puzzle",861.4,1.9,50.2,2012,Ubisoft,Bethesda,24.84
Super Mario Odyssey,"Open World, RPG",257.86,3.4,53.6,2002,Bethesda,Electronic Arts,31.19
God of War,Racing,996.66,4.6,78.7,2002,Epic Games,Nintendo,58.22
Bloodborne,"Strategy, Puzzle",357.42,5.7,82.4,2002,CD Projekt Red,Activision,57.15
Horizon Zero Dawn,"Sports, MMORPG",503.05,3.2,33.7,2020,Bethesda,Electronic Arts,0.21
Persona 5,"RPG, Open World",57.64,5.9,23,2005,EA,Microsoft,9.13
Final Fantasy XV,First-person shooter,269.75,3.8,97.9,2010,Valve,Capcom,46.36
The Last of Us,"Adventure, MMORPG, Racing",383.37,5.9,2.3,2011,EA,Nintendo,11.65
Death Stranding,RPG,713.29,9.1,34.7,2019,CD Projekt Red,Sega,15.55
Apex Legends,Puzzle,808.86,5.3,15,2005,Ubisoft,Square Enix,50.85
Dota Underlords,Sports,459.03,4.4,7.4,2014,Ubisoft,Square Enix,29.28
Counter-Strike: Global Offensive,"RPG, Adventure, Open World",237.44,8.9,69.4,2017,Bungie,Square Enix,23.14
Grand Theft Auto V,"Racing, Simulation",213.1,1.7,49.4,2001,Nintendo,Capcom,30.68
PlayerUnknown's Battlegrounds,Open World,753.42,2.1,3.8,2017,CD Projekt Red,Capcom,57.38
Rocket League,"Simulation, Puzzle",697.02,4.9,1.5,2007,EA,Capcom,4.84
The Witcher 3: Wild Hunt,"First-person shooter, Puzzle",529.39,4.1,58.5,2017,Rockstar Games,Sony,45.91
Red Dead Redemption 2,"First-person shooter, MMORPG, Puzzle",161.72,6.6,20.8,2014,Epic Games,Sony,54.05
Cyberpunk 2077,"RPG, Strategy",734.36,3.8,14.4,2001,Nintendo,Sony,0.95
DOOM Eternal,"First-person shooter, RPG",745.43,1.5,89.7,2019,EA,Capcom,20.02
Stardew Valley,"First-person shooter, Strategy",269.65,8.2,55,2004,CD Projekt Red,Square Enix,2.89
Terraria,"RPG, Adventure",570.73,7,55.5,2000,Bethesda,Activision,41.07
Dark Souls III,"Racing, RPG, Simulation",231.62,5.7,66.8,2002,Rockstar Games,Sony,58.45
Hades,"Racing, First-person shooter",961.5,6.7,95.2,2020,Nintendo,Sega,33.44
Half-Life: Alyx,"MMORPG, Puzzle",32.5,2.8,57.4,2010,Bethesda,Bandai Namco,51.84
Valheim,"Open World, First-person shooter, Puzzle",42.64,5.5,80,2021,Rockstar Games,Capcom,20.78
Among Us,Simulation,218.6,4.3,90,2021,Bethesda,Bethesda,32.74
Rust,Simulation,626.28,9,66.5,2013,Bungie,Nintendo,50.84
ARK: Survival Evolved,"RPG, Puzzle",510.31,6.7,70.8,2002,CD Projekt Red,Activision,15.84
Fallout 4,Adventure,250.11,6.8,78.7,2007,EA,Electronic Arts,10.73
Sekiro: Shadows Die Twice,"Adventure, Sports",712.04,7.6,61.1,2012,Nintendo,Activision,28.66
Hollow Knight,Sports,245.59,6.9,22.2,2014,Bungie,Bandai Namco,0.6
Slay the Spire,"Simulation, RPG",354.9,2,27.6,2000,Nintendo,Microsoft,53.16
Portal 2,"Simulation, RPG, Adventure",781.62,2.2,74.7,2019,Ubisoft,Activision,0.75
Subnautica,"Open World, Puzzle",793.01,1.9,76.8,2005,CD Projekt Red,Bandai Namco,57.03
Borderlands 3,Puzzle,819.75,4.3,51.7,2005,Rockstar Games,Microsoft,17.13
Overwatch,"First-person shooter, RPG, Simulation",437.75,9.2,24.5,2001,BioWare,Sega,17.37
Fortnite,"Sports, First-person shooter, MMORPG",858.71,3.6,60.1,2019,Rockstar Games,Sony,4.86
Minecraft,"Strategy, Puzzle",274.88,4.2,64.2,2010,Nintendo,Nintendo,13.89
The Elder Scrolls V: Skyrim,Simulation,420.24,4.1,28.9,2017,Nintendo,Bandai Namco,51.85
Left 4 Dead 2,RPG,953.02,5.4,28.6,2016,Epic Games,Bethesda,21.51
Team Fortress 2,Strategy,706.25,7.5,75.5,2002,BioWare,Nintendo,49.72
Tom Clancy's Rainbow Six Siege,"First-person shooter, Puzzle, Simulation",591.97,4,26.2,2020,Ubisoft,Sega,37.46
BioShock Infinite,Strategy,932,2.2,11.6,2010,Rockstar Games,Capcom,7.54
Far Cry 5,Open World,998.94,3.3,7.7,2009,BioWare,Activision,31.17
Assassin's Creed Odyssey,Adventure,506.96,3.3,8.6,2008,Bungie,Bandai Namco,31.05
Just Cause 4,Simulation,283.53,8.4,63.9,2009,Rockstar Games,Microsoft,54.31
Metro Exodus,"Strategy, RPG",700.78,7.7,97.6,2012,Nintendo,Capcom,44.06
Destiny 2,"Sports, Open World, Simulation",475.18,9.1,44.5,2007,Nintendo,Nintendo,43.33
Resident Evil 2,"Racing, RPG, MMORPG",441.7,6,41.4,2021,BioWare,Activision,51.71
Monster Hunter: World,Strategy,423.84,1.6,30.3,2004,Bungie,Activision,57.27
The Sims 4,Sports,555.62,1.9,20.8,2019,BioWare,Activision,8
Sid Meier's Civilization VI,First-person shooter,371.81,2.7,4.2,2014,Nintendo,Bethesda,28.37
The Legend of Zelda: Breath of the Wild,Open World,9.22,3.3,5.3,2001,EA,Capcom,33.87
Super Mario Odyssey,"Sports, Open World",601.53,4.1,2.7,2006,Rockstar Games,Bethesda,30.86
God of War,Puzzle,261.65,2,47.1,2014,Valve,Activision,14.83
Bloodborne,"Adventure, Simulation",319.03,2.8,56,2020,Nintendo,Sony,58.82
Horizon Zero Dawn,"Adventure, Strategy",173.83,9.4,67,2018,Ubisoft,Bandai Namco,21.04
Persona 5,"Sports, Simulation",815.99,3.1,92.6,2020,BioWare,Sega,27.49
Final Fantasy XV,"First-person shooter, Racing",392.59,2.1,8.6,2015,Bethesda,Microsoft,1.73
The Last of Us,"RPG, Simulation, MMORPG",655.53,1.5,56.7,2011,Nintendo,Electronic Arts,42.6
Death Stranding,Puzzle,330.33,9.6,82.4,2015,Nintendo,Bandai Namco,37.81
Apex Legends,Adventure,14.41,8.5,89.7,2017,Rockstar Games,Microsoft,52.17
Dota Underlords,"MMORPG, Sports",102.58,8.1,69.1,2015,Valve,Capcom,3.89
Counter-Strike: Global Offensive,"Puzzle, MMORPG, RPG",695.53,7.9,71.1,2014,Ubisoft,Bethesda,57.55
Grand Theft Auto V,MMORPG,419.97,1.9,97.8,2002,Ubisoft,Capcom,23.74
PlayerUnknown's Battlegrounds,"Strategy, Sports, RPG",439.07,6.3,20.4,2015,Valve,Capcom,48.78
Rocket League,Adventure,126.21,9.5,72.5,2015,CD Projekt Red,Capcom,56.95
The Witcher 3: Wild Hunt,Puzzle,737.74,3.7,58.3,2006,Nintendo,Square Enix,21.15
Red Dead Redemption 2,"First-person shooter, Racing",639.23,8.2,81.2,2023,Rockstar Games,Electronic Arts,20.09
Cyberpunk 2077,"RPG, First-person shooter, Strategy",753.31,8.3,26.3,2003,CD Projekt Red,Square Enix,33.23
DOOM Eternal,"RPG, Sports",603.94,3.9,74.7,2011,Nintendo,Sega,2.48
Stardew Valley,"First-person shooter, RPG, Strategy",635.38,4.2,70.9,2001,Epic Games,Nintendo,19.97
Terraria,"First-person shooter, Strategy",888.63,9,21.5,2021,Rockstar Games,Bethesda,42.12
Dark Souls III,MMORPG,972.49,6.9,16.1,2006,Nintendo,Microsoft,0.87
Hades,"Simulation, First-person shooter, Adventure",802.66,8.4,73,2022,EA,Nintendo,31.21
Half-Life: Alyx,"MMORPG, Racing",471.47,8.4,43.2,2009,Bethesda,Bethesda,58.28
Valheim,"Strategy, MMORPG",374.02,3.8,57.6,2019,Valve,Electronic Arts,51.32
Among Us,MMORPG,450.49,8.8,30.3,2009,Ubisoft,Activision,48.44
Rust,"Open World, First-person shooter",122.03,5.2,37.4,2003,Nintendo,Capcom,34.06
ARK: Survival Evolved,First-person shooter,872.22,8.2,63.8,2019,Ubisoft,Electronic Arts,43.55
Fallout 4,"Strategy, Open World",209.92,9,22.4,2020,BioWare,Bandai Namco,5.49
Sekiro: Shadows Die Twice,"Sports, Puzzle",407.98,4.9,29.6,2017,Nintendo,Bandai Namco,18.05
Hollow Knight,"Puzzle, RPG, Adventure",994.22,1.3,39.5,2023,BioWare,Activision,49.75
Slay the Spire,Sports,869.53,5.3,79,2006,EA,Microsoft,23.26
Portal 2,Simulation,283.67,6.9,75.3,2018,Valve,Capcom,54.01
Subnautica,"Adventure, Simulation",165.82,3.4,56.7,2003,Bethesda,Activision,14.33
Borderlands 3,RPG,263.49,9.9,42.1,2020,Epic Games,Bandai Namco,5.87
Overwatch,"First-person shooter, RPG",169.87,4,30.9,2007,CD Projekt Red,Capcom,42.68
Fortnite,"MMORPG, Adventure",890.93,4.7,7.1,2022,Valve,Bandai Namco,59.96
Minecraft,"MMORPG, RPG",91.61,6.1,45.6,2018,Bethesda,Bethesda,30.42
The Elder Scrolls V: Skyrim,"Adventure, Sports, Puzzle",63.34,9.5,15.4,2015,Bethesda,Capcom,38.2
Left 4 Dead 2,"First-person shooter, Open World",771.12,8.5,55.2,2009,EA,Microsoft,55.89
Team Fortress 2,"Sports, MMORPG, Racing",486.48,6.3,80.4,2014,Nintendo,Capcom,9.5
Tom Clancy's Rainbow Six Siege,"Sports, Simulation, Strategy",380.56,2,54.2,2020,Nintendo,Nintendo,6.06
BioShock Infinite,"Puzzle, First-person shooter, Simulation",588.66,1,43.8,2017,Valve,Bethesda,40.26
Far Cry 5,"Racing, Sports",300.1,9.4,25.6,2022,Valve,Bandai Namco,30.85
Assassin's Creed Odyssey,"First-person shooter, Strategy",289.89,6.8,90.7,2003,Rockstar Games,Square Enix,14.84
Just Cause 4,Puzzle,838.75,5.5,30.9,2011,Bethesda,Sega,26.18
Metro Exodus,"Racing, Strategy, Adventure",570.29,7.9,72.2,2011,Nintendo,Bandai Namco,50.48
Destiny 2,"MMORPG, Adventure",746.6,1.6,39.8,2004,Bethesda,Microsoft,13.06
Resident Evil 2,Simulation,273,1.9,3.3,2005,Nintendo,Bandai Namco,12.48
Monster Hunter: World,"Open World, Puzzle, RPG",191.6,4.2,35.1,2000,BioWare,Electronic Arts,58.18
The Sims 4,"Simulation, MMORPG, Puzzle",304.18,7.3,1.8,2017,BioWare,Microsoft,49.86
Sid Meier's Civilization VI,"Adventure, MMORPG, First-person shooter",604.32,5,91.5,2019,Epic Games,Capcom,27.4
The Legend of Zelda: Breath of the Wild,MMORPG,363.2,8.8,7.8,2023,EA,Microsoft,35.12
Super Mario Odyssey,"MMORPG, Sports, Racing",187.03,8.4,92.3,2015,EA,Electronic Arts,8.75
God of War,MMORPG,368.14,1.3,15.4,2021,EA,Sega,14.12
Bloodborne,"Racing, First-person shooter, Puzzle",831.22,5.8,20,2013,EA,Capcom,4.65
Horizon Zero Dawn,"Puzzle, Racing, Sports",578.85,2.1,68.9,2016,Bungie,Square Enix,39.7
Persona 5,"Puzzle, Adventure, Racing",185.27,6.7,6,2014,CD Projekt Red,Nintendo,13.48
Final Fantasy XV,"Adventure, RPG, Simulation",840.53,4.3,54.2,2001,Nintendo,Sony,16.86
The Last of Us,"Simulation, Strategy",932.31,3.1,30.9,2001,CD Projekt Red,Sega,20.41
Death Stranding,"Adventure, Sports",323.69,5.2,3.8,2000,Valve,Sega,28.41
Apex Legends,"Strategy, Sports, RPG",77.61,9.4,70.4,2018,CD Projekt Red,Sony,26.49
Dota Underlords,"Racing, Open World, Adventure",819.8,3.7,85.9,2021,BioWare,Square Enix,42.79
Counter-Strike: Global Offensive,"MMORPG, Racing, Sports",334.46,5.6,36.2,2010,Bethesda,Electronic Arts,41.39
Grand Theft Auto V,"Puzzle, RPG, Adventure",861.68,9.9,59.3,2018,Epic Games,Bethesda,25.24
PlayerUnknown's Battlegrounds,"Open World, Puzzle, Adventure",85.78,4.3,8.6,2001,Epic Games,Nintendo,1.49
Rocket League,"First-person shooter, Racing, MMORPG",482.57,6.4,44.9,2001,Epic Games,Capcom,24.46
The Witcher 3: Wild Hunt,"MMORPG, RPG",510.36,1.9,75,2022,Rockstar Games,Sega,22.92
Red Dead Redemption 2,"First-person shooter, Adventure, Simulation",49.87,8.2,19.9,2012,EA,Microsoft,9.73
Cyberpunk 2077,Puzzle,641.16,7.1,14.9,2015,Bethesda,Capcom,17.59
DOOM Eternal,"RPG, Simulation, First-person shooter",529.87,2.8,23.3,2014,EA,Bandai Namco,43.66
Stardew Valley,"MMORPG, Strategy, RPG",397.18,1.4,33.2,2006,BioWare,Activision,22.82
Terraria,"RPG, Sports",894.4,3.8,72.5,2020,EA,Sega,28.03
Dark Souls III,"RPG, Strategy, Open World",873.32,7.9,81,2019,Bungie,Capcom,12.79
Hades,"Simulation, Strategy",336.37,9.2,38.8,2014,EA,Capcom,47.17
Half-Life: Alyx,Sports,304,2,49.8,2009,BioWare,Electronic Arts,13.54
Valheim,"Open World, Strategy, RPG",425.05,5.6,85.6,2019,EA,Nintendo,58.5
Among Us,"RPG, Open World",28.67,4.1,40,2007,Rockstar Games,Sony,36.33
Rust,"Sports, Open World, Simulation",327.65,6.7,49.7,2022,CD Projekt Red,Activision,50.42
ARK: Survival Evolved,"Open World, MMORPG",702.85,6.7,67,2011,Rockstar Games,Bethesda,6.64
Fallout 4,"Strategy, Open World, Simulation",53.39,6.2,23.8,2001,Bethesda,Bandai Namco,57.05
Sekiro: Shadows Die Twice,"Puzzle, Simulation",787.22,1.7,3.2,2010,Bungie,Microsoft,57.22
Hollow Knight,"Open World, Puzzle",837.57,9.9,60.5,2013,Bungie,Bethesda,56.71
Slay the Spire,First-person shooter,212.52,1.1,10.5,2015,Bungie,Activision,47.13
Portal 2,"Adventure, Open World, Racing",127.64,3.4,22.3,2004,BioWare,Capcom,10.63
Subnautica,Puzzle,456.09,3,54.4,2012,Bethesda,Electronic Arts,43.56
Borderlands 3,"Open World, MMORPG, Sports",761.64,1.5,34.1,2007,Bethesda,Nintendo,15.07
Overwatch,"Racing, Puzzle",276.77,4.7,43.7,2013,Bethesda,Square Enix,41.42
Fortnite,"First-person shooter, Simulation, RPG",770.15,1.9,60.6,2022,Rockstar Games,Bethesda,41.46
Minecraft,"Racing, Adventure",481.44,1.7,35.8,2020,Nintendo,Activision,5.94
The Elder Scrolls V: Skyrim,"MMORPG, Strategy",116.05,1.2,9.8,2000,Rockstar Games,Sony,24.23
Left 4 Dead 2,Simulation,921.2,6.6,50,2023,Ubisoft,Nintendo,37.42
Team Fortress 2,Puzzle,747.2,4.7,49.5,2017,CD Projekt Red,Bandai Namco,38.66
Tom Clancy's Rainbow Six Siege,Strategy,929.53,9.3,7.5,2018,Valve,Sega,11.46
BioShock Infinite,RPG,972.66,9.1,20,2020,Bungie,Bethesda,54.63
Far Cry 5,"RPG, Puzzle",945.11,1.8,56,2006,Valve,Bandai Namco,7.1
Assassin's Creed Odyssey,RPG,885.31,1.4,59,2008,Valve,Nintendo,25.41
Just Cause 4,Sports,374.56,5.7,48.5,2009,BioWare,Sega,28.76
Metro Exodus,First-person shooter,271.06,4.4,2.8,2020,CD Projekt Red,Capcom,30.16
Destiny 2,"Strategy, Adventure",627.43,1.6,83.9,2013,Nintendo,Nintendo,7.65
Resident Evil 2,"Adventure, First-person shooter, MMORPG",411.12,3.6,98.6,2000,Rockstar Games,Nintendo,38.56
Monster Hunter: World,Racing,968.62,8.2,91.5,2020,CD Projekt Red,Square Enix,52.39
The Sims 4,"Open World, MMORPG",526.08,5.3,3.4,2002,Rockstar Games,Square Enix,55.22
Sid Meier's Civilization VI,"MMORPG, Simulation, Adventure",699.61,4.1,11.3,2012,CD Projekt Red,Bethesda,46.31
The Legend of Zelda: Breath of the Wild,"MMORPG, Simulation, Sports",58.79,8.6,54.8,2014,CD Projekt Red,Bandai Namco,28.12
Super Mario Odyssey,Simulation,565.04,3.7,57.8,2008,Valve,Activision,22.42
God of War,"Open World, Puzzle",718.3,7.4,76.1,2012,Bungie,Bethesda,38.1
Bloodborne,Open World,813.99,8.4,72.9,2016,Valve,Microsoft,9.65
Horizon Zero Dawn,First-person shooter,96.98,1.5,85.9,2001,Valve,Square Enix,57.41
Persona 5,Sports,199.98,2.2,48,2018,Bethesda,Bandai Namco,22.34
Final Fantasy XV,"Sports, Puzzle",564.98,1.1,20.9,2014,Nintendo,Sega,15.48
The Last of Us,"Adventure, First-person shooter",631.36,4.7,16.9,2002,Valve,Square Enix,39.19
Death Stranding,Adventure,260.08,8.9,57.4,2008,Nintendo,Microsoft,16.44
Apex Legends,"MMORPG, Open World, Sports",472.41,3.6,70.2,2023,EA,Sega,37.17
Dota Underlords,"Strategy, Open World, Puzzle",628.62,1.8,12.9,2012,BioWare,Bethesda,23.17
Counter-Strike: Global Offensive,Open World,61.77,9.4,85.4,2009,CD Projekt Red,Sega,15.17
Grand Theft Auto V,Simulation,998.91,6.3,61.5,2002,Valve,Activision,47.88
PlayerUnknown's Battlegrounds,"Strategy, Adventure, Open World",813.84,1.2,16.3,2000,Rockstar Games,Square Enix,10.78
Rocket League,Sports,60.51,5.8,94.2,2011,BioWare,Nintendo,49.91
The Witcher 3: Wild Hunt,"Racing, Puzzle",544.45,9.8,47.1,2015,Bungie,Bandai Namco,27.89
Red Dead Redemption 2,"First-person shooter, Adventure",639.66,4.2,52.1,2018,Nintendo,Electronic Arts,7.96
Cyberpunk 2077,"RPG, First-person shooter, Simulation",439.63,2.9,34.6,2015,Bungie,Bandai Namco,47.07
DOOM Eternal,MMORPG,153.26,1.2,71.1,2004,EA,Bethesda,19.26
Stardew Valley,"MMORPG, Open World",180.82,2.9,57.3,2009,BioWare,Sony,58.45
Terraria,"Puzzle, RPG",811.63,6.7,60.6,2020,BioWare,Bandai Namco,38.58
Dark Souls III,"Adventure, Open World",69.56,6.5,47.4,2012,Bungie,Bethesda,47.4
Hades,Simulation,57.17,7.8,92.7,2015,CD Projekt Red,Square Enix,38.9
Half-Life: Alyx,"First-person shooter, Strategy",738.44,2.7,61.3,2023,EA,Sega,22.47
Valheim,MMORPG,963.2,1.1,78.6,2011,Bethesda,Electronic Arts,7.95
Among Us,"Adventure, Simulation, RPG",291.4,8.7,32.9,2000,Valve,Nintendo,52.94
Rust,"Sports, MMORPG",55.52,2,46.6,2021,EA,Nintendo,0.03
ARK: Survival Evolved,First-person shooter,401.09,9.4,9.6,2000,Nintendo,Activision,46.89
Fallout 4,"Adventure, Strategy",636.85,1.3,30.7,2020,Valve,Square Enix,49.13
Sekiro: Shadows Die Twice,Strategy,500.85,8.5,98.4,2023,Rockstar Games,Capcom,7.4
Hollow Knight,"MMORPG, RPG, Adventure",758.21,2.7,34.3,2019,EA,Sega,33.12
Slay the Spire,"Open World, Simulation",461.46,2.2,43.1,2004,Bungie,Nintendo,22.32
Portal 2,"Adventure, RPG, Puzzle",907.43,7.2,93.4,2002,Bethesda,Sega,52.04
Subnautica,"Racing, Simulation",522.4,9.9,15.8,2012,Ubisoft,Sony,46.86
Borderlands 3,"RPG, Simulation",26,8.8,94.1,2006,Rockstar Games,Electronic Arts,39.93
Overwatch,"Sports, Simulation, First-person shooter",739,5.1,94.6,2006,Valve,Bandai Namco,16.92
Fortnite,"Racing, RPG",197.74,7.7,40.3,2018,EA,Capcom,51.2
Minecraft,"Puzzle, MMORPG",627.29,6.3,1,2022,CD Projekt Red,Electronic Arts,24.68
The Elder Scrolls V: Skyrim,Racing,527.66,4,3.5,2012,Epic Games,Capcom,11.29
Left 4 Dead 2,Open World,567.88,10,91,2011,Bungie,Electronic Arts,9.38
Team Fortress 2,Open World,467.31,3.8,15.7,2007,Ubisoft,Square Enix,57.6
Tom Clancy's Rainbow Six Siege,"MMORPG, Adventure, Sports",130.78,6.4,53,2022,Bungie,Bethesda,20.45
BioShock Infinite,Sports,582.85,7.6,15.7,2013,Bethesda,Sega,48.98
Far Cry 5,Strategy,529.5,1.4,31.3,2014,Ubisoft,Microsoft,57.89
Assassin's Creed Odyssey,"Strategy, Adventure, Open World",434.51,5.3,86.4,2006,BioWare,Activision,36.3
Just Cause 4,First-person shooter,155.55,5,46.1,2011,EA,Bandai Namco,35.93
Metro Exodus,"Racing, Puzzle",541.27,4.3,27.7,2000,EA,Sega,1.33
Destiny 2,First-person shooter,216.03,8.3,49.6,2013,Bungie,Sega,48.34
Resident Evil 2,"Strategy, Sports",737.37,7.7,6.9,2013,Valve,Electronic Arts,33.29
Monster Hunter: World,"Sports, RPG, Strategy",706.89,3.2,21.8,2013,Valve,Sega,33.72
The Sims 4,"Adventure, MMORPG",311.36,3.3,61.1,2016,Ubisoft,Nintendo,56.29
Sid Meier's Civilization VI,"RPG, Racing, MMORPG",953.92,7,23.2,2015,Bungie,Activision,37.24
The Legend of Zelda: Breath of the Wild,"MMORPG, Strategy",775.89,2.8,58,2015,Bungie,Capcom,49.89
Super Mario Odyssey,Racing,380.44,9.8,41.9,2013,Epic Games,Square Enix,36.03
God of War,"Open World, Racing, First-person shooter",901.39,3.2,61.5,2020,Ubisoft,Bandai Namco,30.39
Bloodborne,"Open World, Racing, Sports",452.74,4.1,11.5,2016,Ubisoft,Activision,1.71
Horizon Zero Dawn,Strategy,503.08,6,3,2022,CD Projekt Red,Electronic Arts,45.96
Persona 5,"RPG, MMORPG",454.43,9.6,61.5,2007,CD Projekt Red,Bandai Namco,13.05
Final Fantasy XV,"RPG, First-person shooter, MMORPG",439.12,5.7,11,2015,Ubisoft,Electronic Arts,45.02
The Last of Us,"Strategy, Adventure",893.68,6.4,99.4,2009,Nintendo,Bethesda,7.46
Death Stranding,"Sports, Adventure",237.39,6.9,6.5,2007,Rockstar Games,Sega,7.35
Apex Legends,"Sports, Open World, Simulation",348.41,7.3,49.3,2001,EA,Microsoft,28.67
Dota Underlords,"Sports, Open World, Puzzle",164.19,2.3,14,2002,BioWare,Electronic Arts,46.47
Counter-Strike: Global Offensive,"MMORPG, RPG, Adventure",992.3,6.2,58.1,2005,Rockstar Games,Microsoft,40.32
Grand Theft Auto V,"RPG, Open World",201.91,3.6,47.8,2023,Nintendo,Bandai Namco,52.85
PlayerUnknown's Battlegrounds,"RPG, Puzzle, Open World",561.12,8.5,14.3,2011,Epic Games,Capcom,7.7
Rocket League,"RPG, First-person shooter",479.23,1.5,28.1,2019,Ubisoft,Square Enix,32.63
The Witcher 3: Wild Hunt,Sports,624.16,5.7,95.8,2007,Bethesda,Sony,43.18
Red Dead Redemption 2,"MMORPG, Adventure, Open World",797.02,1.2,65.2,2018,CD Projekt Red,Bandai Namco,9.6
Cyberpunk 2077,Open World,45.38,9.4,5,2003,Bethesda,Bandai Namco,45.62
DOOM Eternal,"Sports, Puzzle",290.92,1.9,72.8,2017,Bethesda,Electronic Arts,7.12
Stardew Valley,Racing,910.86,3.1,36.9,2017,Ubisoft,Microsoft,31.65
Terraria,"Racing, Simulation",586.69,4.1,13.4,2011,Bungie,Bandai Namco,50.07
Dark Souls III,"Adventure, Strategy, First-person shooter",389.51,3.9,97.9,2022,Valve,Capcom,27.25
Hades,Racing,314.14,5,44.5,2014,Bethesda,Electronic Arts,34.75
Half-Life: Alyx,"Simulation, Sports, First-person shooter",261.92,4.6,87.7,2014,Nintendo,Bandai Namco,43.29
Valheim,Open World,892.72,8.3,99.3,2012,Ubisoft,Sega,32.86
Among Us,"RPG, Puzzle, Strategy",816.15,5.7,27.5,2019,EA,Bethesda,16.46
Rust,"MMORPG, Open World",428.3,9.3,18,2001,Valve,Electronic Arts,19.35
ARK: Survival Evolved,"Racing, Sports",684.8,3.9,23.8,2014,Rockstar Games,Sony,56.94
Fallout 4,"Adventure, MMORPG, RPG",985.79,8,8.1,2013,Bethesda,Activision,5.8
Sekiro: Shadows Die Twice,"Open World, RPG, First-person shooter",239.84,4.5,8.8,2003,Bethesda,Sega,51.34
Hollow Knight,Racing,887.9,9.6,8.2,2022,CD Projekt Red,Sony,0.54
Slay the Spire,MMORPG,76.49,5.1,93.5,2003,Bungie,Microsoft,1.45
